# run	81821033
# key	spec	kept	seed	order	x	killer	symm	diff
s199	2x2x	1	81821033-199	4	1	0	1	0
s200	2x2xdb	1	81821033-200	4	1	0	1	1
s201	2x2xdi	1	81821033-201	4	1	0	1	2
s202	2x2xda	1	81821033-202	4	1	0	1	3
s203	2x2xde	1	81821033-203	4	1	0	1	4
s204	2x2xdu	1	81821033-204	4	1	0	1	5
s205	2x2xr4	0	81821033-205	4	1	0	2	0
s206	2x2xr4db	0	81821033-206	4	1	0	2	1
s207	2x2xr4di	0	81821033-207	4	1	0	2	2
s208	2x2xr4da	0	81821033-208	4	1	0	2	3
s209	2x2xr4de	0	81821033-209	4	1	0	2	4
s210	2x2xr4du	0	81821033-210	4	1	0	2	5
s211	2x2xm2	0	81821033-211	4	1	0	3	0
s212	2x2xm2db	0	81821033-212	4	1	0	3	1
s213	2x2xm2di	0	81821033-213	4	1	0	3	2
s214	2x2xm2da	0	81821033-214	4	1	0	3	3
s215	2x2xm2de	0	81821033-215	4	1	0	3	4
s216	2x2xm2du	0	81821033-216	4	1	0	3	5
s217	2x2xmd2	0	81821033-217	4	1	0	4	0
s218	2x2xmd2db	0	81821033-218	4	1	0	4	1
s219	2x2xmd2di	0	81821033-219	4	1	0	4	2
s220	2x2xmd2da	0	81821033-220	4	1	0	4	3
s221	2x2xmd2de	0	81821033-221	4	1	0	4	4
s222	2x2xmd2du	0	81821033-222	4	1	0	4	5
s223	2x2xm4	0	81821033-223	4	1	0	5	0
s224	2x2xm4db	0	81821033-224	4	1	0	5	1
s225	2x2xm4di	0	81821033-225	4	1	0	5	2
s226	2x2xm4da	0	81821033-226	4	1	0	5	3
s227	2x2xm4de	0	81821033-227	4	1	0	5	4
s228	2x2xm4du	0	81821033-228	4	1	0	5	5
s229	2x2xmd4	0	81821033-229	4	1	0	6	0
s230	2x2xmd4db	0	81821033-230	4	1	0	6	1
s231	2x2xmd4di	0	81821033-231	4	1	0	6	2
s232	2x2xmd4da	0	81821033-232	4	1	0	6	3
s233	2x2xmd4de	0	81821033-233	4	1	0	6	4
s234	2x2xmd4du	0	81821033-234	4	1	0	6	5
s235	2x2xm8	0	81821033-235	4	1	0	7	0
s236	2x2xm8db	0	81821033-236	4	1	0	7	1
s237	2x2xm8di	0	81821033-237	4	1	0	7	2
s238	2x2xm8da	0	81821033-238	4	1	0	7	3
s239	2x2xm8de	0	81821033-239	4	1	0	7	4
s240	2x2xm8du	0	81821033-240	4	1	0	7	5
