k116	4ja	cr-4-a-116	ok	0.000	0.000	4	4ja
k117	4ja	cr-4-a-117	ok	0.000	0.000	4	4ja
k118	4ja	cr-4-a-118	ok	0.000	0.000	4	4ja
k119	4ja	cr-4-a-119	ok	0.000	0.000	4	4ja
k120	4ja	cr-4-a-120	ok	0.000	0.000	3	4ja
k121	4ja	cr-4-a-121	ok	0.000	0.000	3	4ja
k122	4ja	cr-4-a-122	ok	0.000	0.000	5	4ja
k123	4ja	cr-4-a-123	ok	0.000	0.000	4	4ja
k124	4ja	cr-4-a-124	ok	0.000	0.000	3	4ja
k125	4ja	cr-4-a-125	ok	0.000	0.000	4	4ja
k126	4ja	cr-4-a-126	ok	0.000	0.000	4	4ja
k127	4ja	cr-4-a-127	ok	0.000	0.000	3	4ja
k128	4ja	cr-4-a-128	ok	0.000	0.000	3	4ja
k129	4ja	cr-4-a-129	ok	0.000	0.000	5	4ja
k130	4ja	cr-4-a-130	ok	0.000	0.000	4	4ja
k131	4ja	cr-4-a-131	ok	0.000	0.000	5	4ja
k132	4ja	cr-4-a-132	ok	0.000	0.000	3	4ja
k133	4ja	cr-4-a-133	ok	0.000	0.000	4	4ja
k134	4ja	cr-4-a-134	ok	0.000	0.000	4	4ja
k135	4ja	cr-4-a-135	ok	0.000	0.000	4	4ja
k136	4ja	cr-4-a-136	ok	0.000	0.000	4	4ja
k137	4ja	cr-4-a-137	ok	0.000	0.000	4	4ja
k138	4ja	cr-4-a-138	ok	0.000	0.000	4	4ja
k139	4ja	cr-4-a-139	ok	0.000	0.000	5	4ja
k140	4ja	cr-4-a-140	ok	0.000	0.000	3	4ja
k141	4ja	cr-4-a-141	ok	0.000	0.000	3	4ja
k142	4ja	cr-4-a-142	ok	0.000	0.000	4	4ja
k143	4ja	cr-4-a-143	ok	0.000	0.000	4	4ja
k144	4ja	cr-4-a-144	ok	0.000	0.000	4	4ja
k145	4ja	cr-4-a-145	ok	0.000	0.000	3	4ja
k146	4ja	cr-4-a-146	ok	0.000	0.000	5	4ja
k147	4ja	cr-4-a-147	ok	0.000	0.000	3	4ja
k148	4ja	cr-4-a-148	ok	0.000	0.000	3	4ja
k149	4ja	cr-4-a-149	ok	0.000	0.000	3	4ja
k150	4ja	cr-4-a-150	ok	0.000	0.000	4	4ja
